Date,GE,KO,PG,V,^DJI
2017-07-31,25.61,45.84,90.82,99.56,21891.12
2017-07-28,25.53,46.01,90.21,99.15,21830.31
2017-07-27,25.79,46.12,90.68,99.57,21796.55
2017-07-26,25.59,45.74,89.3,100.85,21711.01
2017-07-25,25.44,45.24,89.14,99.99,21613.43
2017-07-24,25.43,44.84,88.18,100.37,21513.17
2017-07-21,25.91,45.03,88.61,99.6,21580.07
2017-07-20,26.69,44.82,88.6,98.11,21611.78
2017-07-19,26.94,44.83,88.35,98.25,21640.75
2017-07-18,26.89,44.67,88.64,97.58,21574.73
2017-07-17,26.82,44.73,87.55,96.83,21629.72
2017-07-14,26.78,44.68,87.1,96.93,21637.74
2017-07-13,26.79,44.43,86.7,95.94,21553.09
2017-07-12,26.58,44.51,86.96,96.18,21532.14
2017-07-11,26.38,44.33,86.77,95.41,21409.07
2017-07-10,26.04,44.38,87.09,95.09,21408.52
2017-07-07,26.15,44.39,87.65,93.92,21414.34
2017-07-06,26.31,44.4,87.37,93.25,21320.04
2017-07-05,27.35,44.82,87.67,94.01,21478.17
2017-07-03,27.45,44.76,87.74,93.35,21479.27
GE,-6.70%
KO,2.41%
PG,3.51%
V,6.65%
^DJI,1.92%
